监测点编码,监测点名称,城市,经度,纬度,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi,id
2015A,北苑,义乌,120.04,29.334,20170601,33.41340782,3887,7454,2248945.915,209054.9511,79,0.730431855,306.7442627,290.3661194,100147.7109,0.002084197,252.8818817,-1.13591e-05,71.08288574,-0.585333467,-0.436938643,0.627880335,2648,813
2643A,安康市监测站,安康,109.0281,32.6939,20170601,42.38169014,3349,5692,1212324.387,408348.356,265,0.646802068,297.3444824,289.2582397,96412.1875,0.001689448,146.8538208,-5.42697e-06,68.89003754,-0.574546993,-0.297066778,0.62157917,2637,1260
2648A,动力公司,白银,104.1731,36.5481,20170601,30.22922636,2732,4916,750968.7358,821502.6867,1723,1.357420325,304.3940735,282.8800964,81643.40625,0.000577582,368.0976563,-6.99065e-06,44.21148682,-1.120154262,-0.766710103,0.302439153,1704,1264
1991A,兴福子站,常熟,120.721,31.671,20170601,43.43968254,3513,7563,2236717.59,493618.6458,59,1.096853256,263.1172485,288.5152588,101607.6484,0.002022156,309.8349915,-2.22294e-05,72.27472687,-1.088943124,0.131491572,0.71767801,5574,790
2580A,双水,六盘水,104.9544,26.5506,20170601,39.40833333,4332,5041,935450.6547,-359907.517,1830,0.752775967,235.1817627,285.1922913,81656.3125,0.002556966,243.2651978,-7.01063e-06,82.90953064,-0.617992401,0.42983377,0.532309413,5145,1206
1091A,小召,呼和浩特,111.658,40.8033,20170601,36.70612813,2052,6113,1271799.182,1412395.029,1047,0.64222759,168.9503174,280.3956909,88754.35938,0.000686376,172.7218628,-4.59743e-06,43.12671661,0.123144269,-0.630310833,0.413114309,1389,76
2249A,南小市,双鸭山,131.1651,46.619,20170601,26.38235294,1121,9234,2455925.625,2473652.797,148,1.56174469,63.78240585,274.4595642,98479.13281,0.001023261,290.5139771,-7.51846e-06,67.30860901,1.401054025,0.689995646,0.37264806,2648,910
2620A,古城,迪庆州,99.7064,27.8136,20170601,12.44481605,4130,4201,435754.6559,-248382.7472,3332,0.769264698,30.77442932,278.3132629,66492.28906,0.002137532,157.1840973,-1.82312e-06,76.16876221,0.393591106,0.660949469,0.116448417,2835,1240
1335A,经开区环保局,长沙,113.0833,28.2325,20170601,45.18472222,4063,6341,1656447.976,-56542.64937,58,0.754913509,345.0029907,291.0456848,100953.9219,0.002546156,228.4793396,-1.65101e-05,72.4181366,-0.195409775,-0.729184031,0.782874703,2941,281
1004A,天坛,北京,116.434,39.8745,20170601,52.26638177,2200,6877,1655828.045,1372270.098,45,0.376301795,52.71779251,284.6362,100936.8047,0.001010466,138.7939606,-7.13398e-06,45.38791275,0.299402714,0.227949664,0.869679332,2420,3
2464A,市化工厂,邵阳,111.4908,27.2582,20170601,49.60393258,4219,6087,1531193.251,-195428.9153,241,0.892938852,302.8062134,290.3187561,98755.125,0.002201652,233.749115,-1.10621e-05,75.82839203,-0.750552535,-0.483746529,0.748838544,3499,1100
2667A,环保局,临夏州,103.2139,35.6039,20170601,35.40756303,2883,4762,682179.6674,700656.2081,1894,0.572397292,24.49534416,279.8554688,78281.21875,0.001188712,151.5879822,-7.47118e-06,56.36581802,0.237320423,0.520881653,0.281044781,2991,1282
